ID,NAME,DESCRIPTION,SOURCE_BOOK_ID,PAGE_NUMBER,VISIBLE
1,Auspex,Auspex,1,1,Y
2,Celerity,Celerity,1,1,Y
3,Potence,Potence,1,1,Y
4,Presence,Presence,1,1,Y
5,Thaumaturgy,Blood magic,1,1,Y
6,Animalism,Animalism,1,1,Y
7,Chimerstry,Illusions,1,1,N
8,Dementation,Spreading insanity,1,1,N
9,Dominate,Enforcing your will,1,1,Y
10,Fortitude,Withstanding injury,1,1,Y
11,Necromancy,Magic over the dead,1,1,N
12,Obfuscate,Hiding in shadows,1,1,Y
13,Obtenebration,Control the shadows,1,1,N
14,Protean,Shapshifting,1,1,Y
15,Quietus,Powers of assassination,1,1,N
16,Serpentis,Snake power,1,1,N
17,Vicissitude,Fleshcrafting,1,1,N
18,Thanatosis,Death and decay,1,410,N
