NAME,DESCRIPTION,VALUE,GROUPING,COST,XP_COST,MULTIPLE,SOURCE_BOOK_ID,PAGE_NUMBER,VISIBLE,BACKGROUND_QUESTION
Acute Sense,One of your senses is super sensitive,1,Physical,1,0,Y,1,479,Y,Which of your senses is especially acute?
Hard of Hearing,You have trouble hearing,-1,Physical,-1,0,N,1,480,Y,
Ambidextrous,You can use either hand equally well,1,Physical,1,0,N,1,480,Y,
Bruiser,Thug-like appearance,1,Physical,1,0,N,1,480,Y,
Catlike Balance,You are skilled at keeping your balance,1,Physical,1,0,N,1,480,Y,
Early Riser,You need less sleep,1,Physical,1,0,N,1,480,Y,
Eat food,You can keep mortal food and drink down long enough to fake ,1,Physical,1,0,N,1,480,Y,
Daredevil,You are good at taking and surviving risks,3,Physical,3,0,N,1,480,Y,
Blush of Health,You look mortal and are only slight cool to the touch,2,Physical,2,0,N,1,480,Y,
Enchanting Voice,Your voice makes an impression,2,Physical,2,0,N,1,480,Y,
Friendly Face,Strangers are inclined to be well inclined toward you,1,Physical,1,0,N,1,480,Y,
Efficient Digestion,For each 2 blood points you drink you get 3 points of value,3,Physical,3,0,N,1,480,Y,
Huge Size,You are abnormally large in size,4,Physical,4,0,N,1,480,Y,
Bad Sight (glasses/contacts),Your sight is defective,-1,Physical,-1,0,N,1,481,Y,
Bad Sight (severe),Your sight is defective,-3,Physical,-3,0,N,1,481,Y,
Disfigured,A hideous disfigurement makes your appearance disturbing and memorable,-2,Physical,-2,0,N,1,481,Y,Describe the nature of your disfigurement
Dulled Bite,Your fangs are undeveloped,-2,Physical,-2,0,N,1,481,Y,
Fifteenth Generation,You were created by the 14th Generation,-4,Physical,-4,0,N,1,481,Y,
Infectious Bite,Your bites have a 1 in 5 chance of becoming infected,-2,Physical,-2,0,N,1,481,Y,
Fourteenth Generation,You were created by the 13th Generation,-2,Physical,-2,0,N,1,481,Y,
One Eye,You have only one eye,-2,Physical,-2,0,N,1,481,Y,
Short,You are well below average height,-1,Physical,-1,0,N,1,481,Y,
Smell of the Grave,You exude an odor of dampness and newly turned earth,-1,Physical,-1,0,N,1,481,Y,
Tic/Twitch,Physical tic when under stress,-1,Physical,-1,0,N,1,481,Y,
Child,You were a small child,-3,Physical,-3,0,N,1,482,Y,
Addiction,You are addicted to something difficult to obtain or a very ,-3,Physical,-3,0,Y,1,482,Y,What are you addicted to and how does it affect you?
Glowing Eyes,You have the stereotypical glowing eyes of vampire legend,-3,Physical,-3,0,N,1,482,Y,
Lazy,Avoid anything that requires effort on your part,-3,Physical,-3,0,N,1,482,Y,
Lame,You have a limp - you are severely impaired when it comes to,-3,Physical,-3,0,N,1,482,Y,What caused you to have a limp?
