NAME,DESCRIPTION,VISIBLE
Underworld,Streets and crime,Y
Academic,Universities and Colleges,Y
Military,"Army, Navy and Air Force",Y
Medical,Hospitals and Doctors,Y
Charities,Charity and non-profic organisations,Y
Church,Religious Institutions,Y
Corporate,"Limited Companies, Partners, Sole Traders",Y
Entertainment,Includes Sports and the Arts,Y
High Society,The upper class,Y
Judicial,The criminal and civil courts,Y
Media,"TV, Radio, Newspapers and bloggers",Y
Police,The Police Force,Y
Security,Security companies and regulation of them,Y
